Reference, FixingDate, EffectiveDate, MaturityDate, Value
USD-SOFRCMP-OFFSET2-3M,2017-10-25,2017-10-23,2018-01-23,0.012024523999064087
USD-SOFRCMP-OFFSET2-3M,2017-10-26,2017-10-24,2018-01-24,0.012048509806168065
USD-SOFRCMP-OFFSET2-3M,2017-10-27,2017-10-25,2018-01-25,0.012079037392057672
USD-SOFRCMP-OFFSET2-3M,2017-10-30,2017-10-26,2018-01-26,0.012111745792361552
USD-SOFRCMP-OFFSET2-3M,2017-10-31,2017-10-27,2018-01-29,0.012172042150348446
USD-SOFRCMP-OFFSET2-3M,2017-11-01,2017-10-30,2018-01-30,0.012238214296794774
USD-SOFRCMP-OFFSET2-3M,2017-11-02,2017-10-31,2018-01-31,0.012267653050861417
USD-SOFRCMP-OFFSET2-3M,2017-11-03,2017-11-01,2018-02-01,0.012298182315707997
USD-SOFRCMP-OFFSET2-3M,2017-11-06,2017-11-02,2018-02-02,0.012324350475069143
USD-SOFRCMP-OFFSET2-3M,2017-11-07,2017-11-03,2018-02-05,0.012364133071580826
USD-SOFRCMP-OFFSET2-3M,2017-11-08,2017-11-06,2018-02-06,0.012415935795732129
USD-SOFRCMP-OFFSET2-3M,2017-11-09,2017-11-07,2018-02-07,0.012435562493096849
USD-SOFRCMP-OFFSET2-3M,2017-11-10,2017-11-08,2018-02-08,0.0124595508253583
USD-SOFRCMP-OFFSET2-3M,2017-11-13,2017-11-09,2018-02-09,0.012485720060474582
USD-SOFRCMP-OFFSET2-3M,2017-11-14,2017-11-10,2018-02-12,0.012525283251637242
USD-SOFRCMP-OFFSET2-3M,2017-11-15,2017-11-13,2018-02-13,0.012583851195993808
USD-SOFRCMP-OFFSET2-3M,2017-11-16,2017-11-14,2018-02-14,0.012606749989059004
USD-SOFRCMP-OFFSET2-3M,2017-11-17,2017-11-15,2018-02-15,0.012628558490627115
USD-SOFRCMP-OFFSET2-3M,2017-11-20,2017-11-16,2018-02-16,0.0126514575063151
